New Fault Map Bit,Tag Name,Description,,Asset,Used,New Manual Intervention Map Bit,Tag Name,Description,,Asset,Used,New Warning Map Bit,Tag Name,Description,Asset,Used,,,,Tag,Word,Bit
,FB1[17].3,03P049/156 LIFT TABLE SWITCH PAIR FAULT,FB1[17].3 ~ 03P049/156 LIFT TABLE SWITCH PAIR FAULT,3,X,,MB1[17].3,,MB1[17].3 ~ ,,,,WB1[17].3,,,,,,,WB1,17,3
,FB1[17].4,03P049/156 LIFT TABLE SKID XFER TIMEOUT TO 03LT157,FB1[17].4 ~ 03P049/156 LIFT TABLE SKID XFER TIMEOUT TO 03LT157,3,X,,MB1[17].4,,MB1[17].4 ~ ,,,,WB1[17].4,,,,,,,WB1,17,4
,FB1[17].5,03P049/157 LIFT TABLE OVERLOAD FAULT,FB1[17].5 ~ 03P049/157 LIFT TABLE OVERLOAD FAULT,3,X,,MB1[17].5,,MB1[17].5 ~ ,,,,WB1[17].5,,,,,,,WB1,17,5
,FB1[17].6,03P049/157 LIFT TABLE TIME-OUT FAULT,FB1[17].6 ~ 03P049/157 LIFT TABLE TIME-OUT FAULT,3,X,,MB1[17].6,,MB1[17].6 ~ ,,,,WB1[17].6,,,,,,,WB1,17,6
,FB1[17].7,03P049/157 LIFT TABLE SWITCH PAIR FAULT,FB1[17].7 ~ 03P049/157 LIFT TABLE SWITCH PAIR FAULT,3,X,,MB1[17].7,,MB1[17].7 ~ ,,,,WB1[17].7,,,,,,,WB1,17,7
,FB1[17].8,03P066/160 TURN TABLE BRAKE OVERLOAD TRIPPED,FB1[17].8 ~ 03P066/160 TURN TABLE BRAKE OVERLOAD TRIPPED,3,X,,MB1[17].8,,MB1[17].8 ~ ,,,,WB1[17].8,,,,,,,WB1,17,8
,FB1[17].9,03P066/160 TURN TABLE VFD   FAULT,FB1[17].9 ~ 03P066/160 TURN TABLE VFD   FAULT,3,X,,MB1[17].9,,MB1[17].9 ~ ,,,,WB1[17].9,,,,,,,WB1,17,9
,FB1[17].10,03P066/160 TURN TABLE TIME-OUT FAULT,FB1[17].10 ~ 03P066/160 TURN TABLE TIME-OUT FAULT,3,X,,MB1[17].10,,MB1[17].10 ~ ,,,,WB1[17].10,,,,,,,WB1,17,10
,FB1[17].11,03P066/160 TURN TABLE SWITCH PAIR FAULT,FB1[17].11 ~ 03P066/160 TURN TABLE SWITCH PAIR FAULT,3,X,,MB1[17].11,,MB1[17].11 ~ ,,,,WB1[17].11,,,,,,,WB1,17,11
,FB1[17].12,03P066/160 TURN TABLE THERMISTOR FAULT,FB1[17].12 ~ 03P066/160 TURN TABLE THERMISTOR FAULT,3,X,,MB1[17].12,,MB1[17].12 ~ ,,,,WB1[17].12,,,,,,,WB1,17,12
,FB1[17].13,CPU 03 R.I.O. FAULT,FB1[17].13 ~ CPU 03 R.I.O. FAULT,,X,,MB1[17].13,,MB1[17].13 ~ ,,,,WB1[17].13,,,,,,,WB1,17,13
,FB1[17].14,,FB1[17].14 ~ ,,,,MB1[17].14,,MB1[17].14 ~ ,,,,WB1[17].14,CPU 03 PROCESSOR BATTERY LOW,"1,2,3",X,,,,WB1,17,14
,FB1[17].15,,FB1[17].15 ~ ,,,,MB1[17].15,CPU 03 MAIN PANEL EMERGENCY STOP,MB1[17].15 ~ CPU 03 MAIN PANEL EMERGENCY STOP,"1,2,3",X,,WB1[17].15,,,,,,,WB1,17,15
,FB1[17].16,,FB1[17].16 ~ ,,,,MB1[17].16,,MB1[17].16 ~ ,,,,WB1[17].16,,,,,,,WB1,17,16
,FB1[17].17,,FB1[17].17 ~ ,,,,MB1[17].17,,MB1[17].17 ~ ,,,,WB1[17].17,,,,,,,WB1,17,17
,FB1[17].18,,FB1[17].18 ~ ,,,,MB1[17].18,,MB1[17].18 ~ ,,,,WB1[17].18,,,,,,,WB1,17,18
,FB1[17].19,,FB1[17].19 ~ ,,,,MB1[17].19,,MB1[17].19 ~ ,,,,WB1[17].19,,,,,,,WB1,17,19
,FB1[17].20,,FB1[17].20 ~ ,,,,MB1[17].20,,MB1[17].20 ~ ,,,,WB1[17].20,,,,,,,WB1,17,20
,FB1[17].21,,FB1[17].21 ~ ,,,,MB1[17].21,,MB1[17].21 ~ ,,,,WB1[17].21,,,,,,,WB1,17,21
,FB1[17].22,,FB1[17].22 ~ ,,,,MB1[17].22,,MB1[17].22 ~ ,,,,WB1[17].22,,,,,,,WB1,17,22
,FB1[17].23,,FB1[17].23 ~ ,,,,MB1[17].23,,MB1[17].23 ~ ,,,,WB1[17].23,,,,,,,WB1,17,23
,FB1[17].24,,FB1[17].24 ~ ,,,,MB1[17].24,,MB1[17].24 ~ ,,,,WB1[17].24,,,,,,,WB1,17,24
,FB1[17].25,,FB1[17].25 ~ ,,,,MB1[17].25,,MB1[17].25 ~ ,,,,WB1[17].25,,,,,,,WB1,17,25
,FB1[17].26,,FB1[17].26 ~ ,,,,MB1[17].26,,MB1[17].26 ~ ,,,,WB1[17].26,,,,,,,WB1,17,26
,FB1[17].27,,FB1[17].27 ~ ,,,,MB1[17].27,,MB1[17].27 ~ ,,,,WB1[17].27,,,,,,,WB1,17,27
,FB1[17].28,,FB1[17].28 ~ ,,,,MB1[17].28,,MB1[17].28 ~ ,,,,WB1[17].28,,,,,,,WB1,17,28
,FB1[17].29,,FB1[17].29 ~ ,,,,MB1[17].29,,MB1[17].29 ~ ,,,,WB1[17].29,,,,,,,WB1,17,29
,FB1[17].30,,FB1[17].30 ~ ,,,,MB1[17].30,,MB1[17].30 ~ ,,,,WB1[17].30,,,,,,,WB1,17,30
,FB1[17].31,,FB1[17].31 ~ ,,,,MB1[17].31,,MB1[17].31 ~ ,,,,WB1[17].31,,,,,,,WB1,17,31
,FB1[18].0,,FB1[18].0 ~ ,,,,MB1[18].0,CPU 03 DESK 1 EMERGENCY STOP,MB1[18].0 ~ CPU 03 DESK 1 EMERGENCY STOP,"1,2,3",X,,WB1[18].0,,,,,,,WB1,18,0
,FB1[18].1,,FB1[18].1 ~ ,,,,MB1[18].1,CPU 03 DESK 2 EMERGENCY STOP,MB1[18].1 ~ CPU 03 DESK 2 EMERGENCY STOP,"1,3",X,,WB1[18].1,,,,,,,WB1,18,1
,FB1[18].2,,FB1[18].2 ~ ,,,,MB1[18].2,CPU 03 DESK 3 EMERGENCY STOP,MB1[18].2 ~ CPU 03 DESK 3 EMERGENCY STOP,"1,3",X,,WB1[18].2,,,,,,,WB1,18,2
,FB1[18].3,,FB1[18].3 ~ ,,,,MB1[18].3,CPU 03 DESK 4 EMERGENCY STOP,MB1[18].3 ~ CPU 03 DESK 4 EMERGENCY STOP,"1,3",X,,WB1[18].3,,,,,,,WB1,18,3
,FB1[18].4,SMARTEYE #01 RS 108 MIS-READ,FB1[18].4 ~ SMARTEYE #01 RS 108 MIS-READ,3,X,,MB1[18].4,,MB1[18].4 ~ ,,,,WB1[18].4,,,,,,,WB1,18,4
,FB1[18].5,SMARTEYE #02 RS 113 MIS-READ,FB1[18].5 ~ SMARTEYE #02 RS 113 MIS-READ,3,X,,MB1[18].5,,MB1[18].5 ~ ,,,,WB1[18].5,,,,,,,WB1,18,5
,FB1[18].6,SMARTEYE #03 RS 118 MIS-READ,FB1[18].6 ~ SMARTEYE #03 RS 118 MIS-READ,3,X,,MB1[18].6,,MB1[18].6 ~ ,,,,WB1[18].6,,,,,,,WB1,18,6
,FB1[18].7,SMARTEYE #04 RS 123 MIS-READ,FB1[18].7 ~ SMARTEYE #04 RS 123 MIS-READ,3,X,,MB1[18].7,,MB1[18].7 ~ ,,,,WB1[18].7,,,,,,,WB1,18,7
,FB1[18].8,SMARTEYE #05 RS 128 MIS-READ,FB1[18].8 ~ SMARTEYE #05 RS 128 MIS-READ,3,X,,MB1[18].8,,MB1[18].8 ~ ,,,,WB1[18].8,,,,,,,WB1,18,8
,FB1[18].9,SMARTEYE #06 RS 133 MIS-READ,FB1[18].9 ~ SMARTEYE #06 RS 133 MIS-READ,3,X,,MB1[18].9,,MB1[18].9 ~ ,,,,WB1[18].9,,,,,,,WB1,18,9
,FB1[18].10,SMARTEYE #07 RS 136 MIS-READ,FB1[18].10 ~ SMARTEYE #07 RS 136 MIS-READ,3,X,,MB1[18].10,,MB1[18].10 ~ ,,,,WB1[18].10,,,,,,,WB1,18,10
,FB1[18].11,SMARTEYE #09 RS 070 MIS-READ,FB1[18].11 ~ SMARTEYE #09 RS 070 MIS-READ,2,X,,MB1[18].11,,MB1[18].11 ~ ,,,,WB1[18].11,,,,,,,WB1,18,11
,FB1[18].12,SMARTEYE #10 RS 071 MIS-READ,FB1[18].12 ~ SMARTEYE #10 RS 071 MIS-READ,2,X,,MB1[18].12,,MB1[18].12 ~ ,,,,WB1[18].12,,,,,,,WB1,18,12
,FB1[18].13,SMARTEYE #11 RS 078 MIS-READ,FB1[18].13 ~ SMARTEYE #11 RS 078 MIS-READ,3,X,,MB1[18].13,,MB1[18].13 ~ ,,,,WB1[18].13,,,,,,,WB1,18,13
,FB1[18].14,SMARTEYE #12 RS 081 MIS-READ,FB1[18].14 ~ SMARTEYE #12 RS 081 MIS-READ,3,X,,MB1[18].14,,MB1[18].14 ~ ,,,,WB1[18].14,,,,,,,WB1,18,14
,FB1[18].15,SMARTEYE #13 RS 084 MIS-READ,FB1[18].15 ~ SMARTEYE #13 RS 084 MIS-READ,3,X,,MB1[18].15,,MB1[18].15 ~ ,,,,WB1[18].15,,,,,,,WB1,18,15
,FB1[18].16,,FB1[18].16 ~ ,,,,MB1[18].16,,MB1[18].16 ~ ,,,,WB1[18].16,,,,,,,WB1,18,16
,FB1[18].17,,FB1[18].17 ~ ,,,,MB1[18].17,,MB1[18].17 ~ ,,,,WB1[18].17,,,,,,,WB1,18,17
,FB1[18].18,,FB1[18].18 ~ ,,,,MB1[18].18,,MB1[18].18 ~ ,,,,WB1[18].18,,,,,,,WB1,18,18
,FB1[18].19,,FB1[18].19 ~ ,,,,MB1[18].19,,MB1[18].19 ~ ,,,,WB1[18].19,,,,,,,WB1,18,19
,FB1[18].20,,FB1[18].20 ~ ,,,,MB1[18].20,,MB1[18].20 ~ ,,,,WB1[18].20,,,,,,,WB1,18,20
,FB1[18].21,,FB1[18].21 ~ ,,,,MB1[18].21,,MB1[18].21 ~ ,,,,WB1[18].21,,,,,,,WB1,18,21
,FB1[18].22,,FB1[18].22 ~ ,,,,MB1[18].22,,MB1[18].22 ~ ,,,,WB1[18].22,,,,,,,WB1,18,22
,FB1[18].23,,FB1[18].23 ~ ,,,,MB1[18].23,,MB1[18].23 ~ ,,,,WB1[18].23,,,,,,,WB1,18,23
,FB1[18].24,,FB1[18].24 ~ ,,,,MB1[18].24,,MB1[18].24 ~ ,,,,WB1[18].24,,,,,,,WB1,18,24
,FB1[18].25,,FB1[18].25 ~ ,,,,MB1[18].25,,MB1[18].25 ~ ,,,,WB1[18].25,,,,,,,WB1,18,25
,FB1[18].26,,FB1[18].26 ~ ,,,,MB1[18].26,,MB1[18].26 ~ ,,,,WB1[18].26,,,,,,,WB1,18,26
,FB1[18].27,,FB1[18].27 ~ ,,,,MB1[18].27,,MB1[18].27 ~ ,,,,WB1[18].27,,,,,,,WB1,18,27
,FB1[18].28,,FB1[18].28 ~ ,,,,MB1[18].28,,MB1[18].28 ~ ,,,,WB1[18].28,,,,,,,WB1,18,28
,FB1[18].29,,FB1[18].29 ~ ,,,,MB1[18].29,,MB1[18].29 ~ ,,,,WB1[18].29,,,,,,,WB1,18,29
,FB1[18].30,,FB1[18].30 ~ ,,,,MB1[18].30,,MB1[18].30 ~ ,,,,WB1[18].30,,,,,,,WB1,18,30
,FB1[18].31,,FB1[18].31 ~ ,,,,MB1[18].31,,MB1[18].31 ~ ,,,,WB1[18].31,,,,,,,WB1,18,31
,FB1[19].0,SMARTEYE #14 RS 087 MIS-READ,FB1[19].0 ~ SMARTEYE #14 RS 087 MIS-READ,3,X,,MB1[19].0,,MB1[19].0 ~ ,,,,WB1[19].0,,,,,,,WB1,19,0
,FB1[19].1,AREA A SKIDS AT EXIT BUT NOT MOVING,FB1[19].1 ~ AREA A SKIDS AT EXIT BUT NOT MOVING,1,X,,MB1[19].1,,MB1[19].1 ~ ,,,,WB1[19].1,,,,,,,WB1,19,1
,FB1[19].2,,FB1[19].2 ~ ,,,,MB1[19].2,,MB1[19].2 ~ ,,,,WB1[19].2,AREA A SKID AT EXIT BUT NO MATCH,1,X,,,,WB1,19,2
,FB1[19].3,,FB1[19].3 ~ ,,,,MB1[19].3,,MB1[19].3 ~ ,,,,WB1[19].3,AREA A SKIDS AT EXIT BUT NO MATCH,1,X,,,,WB1,19,3
,FB1[19].4,AREA B SKIDS AT EXIT BUT NOT MOVING,FB1[19].4 ~ AREA B SKIDS AT EXIT BUT NOT MOVING,1,X,,MB1[19].4,,MB1[19].4 ~ ,,,,WB1[19].4,,,,,,,WB1,19,4
,FB1[19].5,,FB1[19].5 ~ ,,,,MB1[19].5,,MB1[19].5 ~ ,,,,WB1[19].5,AREA B SKID AT EXIT BUT NO MATCH,1,X,,,,WB1,19,5
,FB1[19].6,,FB1[19].6 ~ ,,,,MB1[19].6,,MB1[19].6 ~ ,,,,WB1[19].6,AREA B SKIDS AT EXIT BUT NO MATCH,1,X,,,,WB1,19,6
,FB1[19].7,AREA C SKIDS AT EXIT BUT NOT MOVING,FB1[19].7 ~ AREA C SKIDS AT EXIT BUT NOT MOVING,1,X,,MB1[19].7,,MB1[19].7 ~ ,,,,WB1[19].7,,,,,,,WB1,19,7
,FB1[19].8,,FB1[19].8 ~ ,,,,MB1[19].8,,MB1[19].8 ~ ,,,,WB1[19].8,AREA C SKID AT EXIT BUT NO MATCH,1,X,,,,WB1,19,8
,FB1[19].9,,FB1[19].9 ~ ,,,,MB1[19].9,,MB1[19].9 ~ ,,,,WB1[19].9,AREA C SKIDS AT EXIT BUT NO MATCH,1,X,,,,WB1,19,9
,FB1[19].10,,FB1[19].10 ~ ,,,,MB1[19].10,ECOAT SPILLOUT LANE DISABLED,MB1[19].10 ~ ECOAT SPILLOUT LANE DISABLED,3,X,,WB1[19].10,,,,,,,WB1,19,10
,FB1[19].11,,FB1[19].11 ~ ,,,,MB1[19].11,,MB1[19].11 ~ ,,,,WB1[19].11,,,,,,,WB1,19,11
,FB1[19].12,,FB1[19].12 ~ ,,,,MB1[19].12,,MB1[19].12 ~ ,,,,WB1[19].12,,,,,,,WB1,19,12
,FB1[19].13,,FB1[19].13 ~ ,,,,MB1[19].13,EXIT FROM E-COAT OVENS DESK 1 IN MANUAL,MB1[19].13 ~ EXIT FROM E-COAT OVENS DESK 1 IN MANUAL,"1,2,3",X,,WB1[19].13,,,,,,,WB1,19,13
,FB1[19].14,,FB1[19].14 ~ ,,,,MB1[19].14,ENTRY TO SEALER LINE DESK 2 IN MANUAL,MB1[19].14 ~ ENTRY TO SEALER LINE DESK 2 IN MANUAL,"1,3",X,,WB1[19].14,,,,,,,WB1,19,14
,FB1[19].15,,FB1[19].15 ~ ,,,,MB1[19].15,MID E-COAT STRIP DESK 3 IN MANUAL,MB1[19].15 ~ MID E-COAT STRIP DESK 3 IN MANUAL,"1,3",X,,WB1[19].15,,,,,,,WB1,19,15
,FB1[19].16,,FB1[19].16 ~ ,,,,MB1[19].16,,MB1[19].16 ~ ,,,,WB1[19].16,,,,,,,WB1,19,16
,FB1[19].17,,FB1[19].17 ~ ,,,,MB1[19].17,,MB1[19].17 ~ ,,,,WB1[19].17,,,,,,,WB1,19,17
,FB1[19].18,,FB1[19].18 ~ ,,,,MB1[19].18,,MB1[19].18 ~ ,,,,WB1[19].18,,,,,,,WB1,19,18
,FB1[19].19,,FB1[19].19 ~ ,,,,MB1[19].19,,MB1[19].19 ~ ,,,,WB1[19].19,,,,,,,WB1,19,19
,FB1[19].20,,FB1[19].20 ~ ,,,,MB1[19].20,,MB1[19].20 ~ ,,,,WB1[19].20,,,,,,,WB1,19,20
,FB1[19].21,,FB1[19].21 ~ ,,,,MB1[19].21,,MB1[19].21 ~ ,,,,WB1[19].21,,,,,,,WB1,19,21
,FB1[19].22,,FB1[19].22 ~ ,,,,MB1[19].22,,MB1[19].22 ~ ,,,,WB1[19].22,,,,,,,WB1,19,22
,FB1[19].23,,FB1[19].23 ~ ,,,,MB1[19].23,,MB1[19].23 ~ ,,,,WB1[19].23,,,,,,,WB1,19,23
,FB1[19].24,,FB1[19].24 ~ ,,,,MB1[19].24,,MB1[19].24 ~ ,,,,WB1[19].24,,,,,,,WB1,19,24
,FB1[19].25,,FB1[19].25 ~ ,,,,MB1[19].25,,MB1[19].25 ~ ,,,,WB1[19].25,,,,,,,WB1,19,25
,FB1[19].26,,FB1[19].26 ~ ,,,,MB1[19].26,,MB1[19].26 ~ ,,,,WB1[19].26,,,,,,,WB1,19,26
,FB1[19].27,,FB1[19].27 ~ ,,,,MB1[19].27,,MB1[19].27 ~ ,,,,WB1[19].27,,,,,,,WB1,19,27
,FB1[19].28,,FB1[19].28 ~ ,,,,MB1[19].28,,MB1[19].28 ~ ,,,,WB1[19].28,,,,,,,WB1,19,28
,FB1[19].29,,FB1[19].29 ~ ,,,,MB1[19].29,,MB1[19].29 ~ ,,,,WB1[19].29,,,,,,,WB1,19,29
,FB1[19].30,,FB1[19].30 ~ ,,,,MB1[19].30,,MB1[19].30 ~ ,,,,WB1[19].30,,,,,,,WB1,19,30
,FB1[19].31,,FB1[19].31 ~ ,,,,MB1[19].31,,MB1[19].31 ~ ,,,,WB1[19].31,,,,,,,WB1,19,31
,FB1[20].0,,FB1[20].0 ~ ,,,,MB1[20].0,SOUTH E-COAT STRIP DESK 4 IN MANUAL,MB1[20].0 ~ SOUTH E-COAT STRIP DESK 4 IN MANUAL,"1,3",X,,WB1[20].0,,,,,,,WB1,20,0
,FB1[20].1,,FB1[20].1 ~ ,,,,MB1[20].1,,MB1[20].1 ~ ,,,,WB1[20].1,SEALERLINE STARVED BY ECOAT STRIP,3,X,,,,WB1,20,1
,FB1[20].2,,FB1[20].2 ~ ,,,,MB1[20].2,CPU-3 RB079 STOPPER DISC 321 OPEN,MB1[20].2 ~ CPU-3 RB079 STOPPER DISC 321 OPEN,3,X,,WB1[20].2,,,,,,,WB1,20,2
,FB1[20].3,,FB1[20].3 ~ ,,,,MB1[20].3,CPU-3 RB082 STOPPER DISC 321 OPEN,MB1[20].3 ~ CPU-3 RB082 STOPPER DISC 321 OPEN,3,X,,WB1[20].3,,,,,,,WB1,20,3
,FB1[20].4,,FB1[20].4 ~ ,,,,MB1[20].4,CPU-3 RBO85 STOPPER DISC 321 OPEN,MB1[20].4 ~ CPU-3 RBO85 STOPPER DISC 321 OPEN,3,X,,WB1[20].4,,,,,,,WB1,20,4
,FB1[20].5,,FB1[20].5 ~ ,,,,MB1[20].5,CPU-3 RB088 STOPPER DISC 321 OPEN,MB1[20].5 ~ CPU-3 RB088 STOPPER DISC 321 OPEN,3,X,,WB1[20].5,,,,,,,WB1,20,5
,FB1[20].6,,FB1[20].6 ~ ,,,,MB1[20].6,,MB1[20].6 ~ ,,,,WB1[20].6,,,,,,,WB1,20,6
,FB1[20].7,,FB1[20].7 ~ ,,,,MB1[20].7,,MB1[20].7 ~ ,,,,WB1[20].7,,,,,,,WB1,20,7
,FB1[20].8,,FB1[20].8 ~ ,,,,MB1[20].8,,MB1[20].8 ~ ,,,,WB1[20].8,,,,,,,WB1,20,8
,FB1[20].9,,FB1[20].9 ~ ,,,,MB1[20].9,,MB1[20].9 ~ ,,,,WB1[20].9,,,,,,,WB1,20,9
,FB1[20].10,,FB1[20].10 ~ ,,,,MB1[20].10,,MB1[20].10 ~ ,,,,WB1[20].10,,,,,,,WB1,20,10
,FB1[20].11,,FB1[20].11 ~ ,,,,MB1[20].11,,MB1[20].11 ~ ,,,,WB1[20].11,,,,,,,WB1,20,11
,FB1[20].12,,FB1[20].12 ~ ,,,,MB1[20].12,,MB1[20].12 ~ ,,,,WB1[20].12,,,,,,,WB1,20,12
,FB1[20].13,,FB1[20].13 ~ ,,,,MB1[20].13,,MB1[20].13 ~ ,,,,WB1[20].13,,,,,,,WB1,20,13
,FB1[20].14,,FB1[20].14 ~ ,,,,MB1[20].14,,MB1[20].14 ~ ,,,,WB1[20].14,,,,,,,WB1,20,14
,FB1[20].15,TT160 ROTATE TIMEOUT FLT,FB1[20].15 ~ TT160 ROTATE TIMEOUT FLT,3,X,,MB1[20].15,,MB1[20].15 ~ ,,,,WB1[20].15,,,,,,,WB1,20,15
,FB1[20].16,,FB1[20].16 ~ ,,,,MB1[20].16,,MB1[20].16 ~ ,,,,WB1[20].16,,,,,,,WB1,20,16
,FB1[20].17,,FB1[20].17 ~ ,,,,MB1[20].17,,MB1[20].17 ~ ,,,,WB1[20].17,,,,,,,WB1,20,17
,FB1[20].18,,FB1[20].18 ~ ,,,,MB1[20].18,,MB1[20].18 ~ ,,,,WB1[20].18,,,,,,,WB1,20,18
,FB1[20].19,,FB1[20].19 ~ ,,,,MB1[20].19,,MB1[20].19 ~ ,,,,WB1[20].19,,,,,,,WB1,20,19
,FB1[20].20,,FB1[20].20 ~ ,,,,MB1[20].20,,MB1[20].20 ~ ,,,,WB1[20].20,,,,,,,WB1,20,20
,FB1[20].21,,FB1[20].21 ~ ,,,,MB1[20].21,,MB1[20].21 ~ ,,,,WB1[20].21,,,,,,,WB1,20,21
,FB1[20].22,,FB1[20].22 ~ ,,,,MB1[20].22,,MB1[20].22 ~ ,,,,WB1[20].22,,,,,,,WB1,20,22
,FB1[20].23,,FB1[20].23 ~ ,,,,MB1[20].23,,MB1[20].23 ~ ,,,,WB1[20].23,,,,,,,WB1,20,23
,FB1[20].24,,FB1[20].24 ~ ,,,,MB1[20].24,,MB1[20].24 ~ ,,,,WB1[20].24,,,,,,,WB1,20,24
,FB1[20].25,,FB1[20].25 ~ ,,,,MB1[20].25,,MB1[20].25 ~ ,,,,WB1[20].25,,,,,,,WB1,20,25
,FB1[20].26,,FB1[20].26 ~ ,,,,MB1[20].26,,MB1[20].26 ~ ,,,,WB1[20].26,,,,,,,WB1,20,26
,FB1[20].27,,FB1[20].27 ~ ,,,,MB1[20].27,,MB1[20].27 ~ ,,,,WB1[20].27,,,,,,,WB1,20,27
,FB1[20].28,,FB1[20].28 ~ ,,,,MB1[20].28,,MB1[20].28 ~ ,,,,WB1[20].28,,,,,,,WB1,20,28
,FB1[20].29,,FB1[20].29 ~ ,,,,MB1[20].29,,MB1[20].29 ~ ,,,,WB1[20].29,,,,,,,WB1,20,29
,FB1[20].30,,FB1[20].30 ~ ,,,,MB1[20].30,,MB1[20].30 ~ ,,,,WB1[20].30,,,,,,,WB1,20,30
,FB1[20].31,,FB1[20].31 ~ ,,,,MB1[20].31,,MB1[20].31 ~ ,,,,WB1[20].31,,,,,,,WB1,20,31
,FB1[21].0,"RACK 0 MODULE GROUP 0,1 FAULT","FB1[21].0 ~ RACK 0 MODULE GROUP 0,1 FAULT",,X,,MB1[21].0,,MB1[21].0 ~ ,,,,WB1[21].0,,,,,,,WB1,21,0
,FB1[21].1,"RACK 0 MODULE GROUP 2,3 FAULT","FB1[21].1 ~ RACK 0 MODULE GROUP 2,3 FAULT",,X,,MB1[21].1,,MB1[21].1 ~ ,,,,WB1[21].1,,,,,,,WB1,21,1
,FB1[21].2,"RACK 0 MODULE GROUP 4,5 FAULT","FB1[21].2 ~ RACK 0 MODULE GROUP 4,5 FAULT",,X,,MB1[21].2,,MB1[21].2 ~ ,,,,WB1[21].2,,,,,,,WB1,21,2
,FB1[21].3,"RACK 0 MODULE GROUP 6,7 FAULT","FB1[21].3 ~ RACK 0 MODULE GROUP 6,7 FAULT",,X,,MB1[21].3,,MB1[21].3 ~ ,,,,WB1[21].3,,,,,,,WB1,21,3
,FB1[21].4,,FB1[21].4 ~ ,,,,MB1[21].4,,MB1[21].4 ~ ,,,,WB1[21].4,,,,,,,WB1,21,4
,FB1[21].5,,FB1[21].5 ~ ,,,,MB1[21].5,,MB1[21].5 ~ ,,,,WB1[21].5,,,,,,,WB1,21,5
,FB1[21].6,,FB1[21].6 ~ ,,,,MB1[21].6,,MB1[21].6 ~ ,,,,WB1[21].6,,,,,,,WB1,21,6
,FB1[21].7,,FB1[21].7 ~ ,,,,MB1[21].7,,MB1[21].7 ~ ,,,,WB1[21].7,,,,,,,WB1,21,7
,FB1[21].8,,FB1[21].8 ~ ,,,,MB1[21].8,,MB1[21].8 ~ ,,,,WB1[21].8,,,,,,,WB1,21,8
,FB1[21].9,,FB1[21].9 ~ ,,,,MB1[21].9,,MB1[21].9 ~ ,,,,WB1[21].9,,,,,,,WB1,21,9
,FB1[21].10,,FB1[21].10 ~ ,,,,MB1[21].10,,MB1[21].10 ~ ,,,,WB1[21].10,,,,,,,WB1,21,10
,FB1[21].11,,FB1[21].11 ~ ,,,,MB1[21].11,,MB1[21].11 ~ ,,,,WB1[21].11,,,,,,,WB1,21,11
,FB1[21].12,,FB1[21].12 ~ ,,,,MB1[21].12,,MB1[21].12 ~ ,,,,WB1[21].12,,,,,,,WB1,21,12
,FB1[21].13,,FB1[21].13 ~ ,,,,MB1[21].13,,MB1[21].13 ~ ,,,,WB1[21].13,,,,,,,WB1,21,13
,FB1[21].14,,FB1[21].14 ~ ,,,,MB1[21].14,,MB1[21].14 ~ ,,,,WB1[21].14,,,,,,,WB1,21,14
,FB1[21].15,,FB1[21].15 ~ ,,,,MB1[21].15,,MB1[21].15 ~ ,,,,WB1[21].15,,,,,,,WB1,21,15
,FB1[21].16,,FB1[21].16 ~ ,,,,MB1[21].16,,MB1[21].16 ~ ,,,,WB1[21].16,,,,,,,WB1,21,16
,FB1[21].17,,FB1[21].17 ~ ,,,,MB1[21].17,,MB1[21].17 ~ ,,,,WB1[21].17,,,,,,,WB1,21,17
,FB1[21].18,,FB1[21].18 ~ ,,,,MB1[21].18,,MB1[21].18 ~ ,,,,WB1[21].18,,,,,,,WB1,21,18
,FB1[21].19,,FB1[21].19 ~ ,,,,MB1[21].19,,MB1[21].19 ~ ,,,,WB1[21].19,,,,,,,WB1,21,19
,FB1[21].20,,FB1[21].20 ~ ,,,,MB1[21].20,,MB1[21].20 ~ ,,,,WB1[21].20,,,,,,,WB1,21,20
,FB1[21].21,,FB1[21].21 ~ ,,,,MB1[21].21,,MB1[21].21 ~ ,,,,WB1[21].21,,,,,,,WB1,21,21
,FB1[21].22,,FB1[21].22 ~ ,,,,MB1[21].22,,MB1[21].22 ~ ,,,,WB1[21].22,,,,,,,WB1,21,22
,FB1[21].23,,FB1[21].23 ~ ,,,,MB1[21].23,,MB1[21].23 ~ ,,,,WB1[21].23,,,,,,,WB1,21,23
,FB1[21].24,,FB1[21].24 ~ ,,,,MB1[21].24,,MB1[21].24 ~ ,,,,WB1[21].24,,,,,,,WB1,21,24
,FB1[21].25,,FB1[21].25 ~ ,,,,MB1[21].25,,MB1[21].25 ~ ,,,,WB1[21].25,,,,,,,WB1,21,25
,FB1[21].26,,FB1[21].26 ~ ,,,,MB1[21].26,,MB1[21].26 ~ ,,,,WB1[21].26,,,,,,,WB1,21,26
,FB1[21].27,,FB1[21].27 ~ ,,,,MB1[21].27,,MB1[21].27 ~ ,,,,WB1[21].27,,,,,,,WB1,21,27
,FB1[21].28,,FB1[21].28 ~ ,,,,MB1[21].28,,MB1[21].28 ~ ,,,,WB1[21].28,,,,,,,WB1,21,28
,FB1[21].29,,FB1[21].29 ~ ,,,,MB1[21].29,,MB1[21].29 ~ ,,,,WB1[21].29,,,,,,,WB1,21,29
,FB1[21].30,,FB1[21].30 ~ ,,,,MB1[21].30,,MB1[21].30 ~ ,,,,WB1[21].30,,,,,,,WB1,21,30
