Trigger Value,Faults,Manual Interventions
1257,FB1[39].9 ~ ,MB1[39].9 ~ 
1258,FB1[39].10 ~ ,MB1[39].10 ~ 
1259,FB1[39].11 ~ ,MB1[39].11 ~ 
1260,FB1[39].12 ~ ,MB1[39].12 ~ 
1261,FB1[39].13 ~ ,MB1[39].13 ~ 
1262,FB1[39].14 ~ ,MB1[39].14 ~ 
1263,FB1[39].15 ~ ,MB1[39].15 ~ 
1264,FB1[39].16 ~ ,MB1[39].16 ~ 
1265,FB1[39].17 ~ ,MB1[39].17 ~ 
1266,FB1[39].18 ~ ,MB1[39].18 ~ 
1267,FB1[39].19 ~ ,MB1[39].19 ~ 
1268,FB1[39].20 ~ ,MB1[39].20 ~ 
1269,FB1[39].21 ~ ,MB1[39].21 ~ 
1270,FB1[39].22 ~ ,MB1[39].22 ~ 
1271,FB1[39].23 ~ ,MB1[39].23 ~ 
1272,FB1[39].24 ~ ,MB1[39].24 ~ 
1273,FB1[39].25 ~ ,MB1[39].25 ~ 
1274,FB1[39].26 ~ ,MB1[39].26 ~ 
1275,FB1[39].27 ~ ,MB1[39].27 ~ 
1276,FB1[39].28 ~ ,MB1[39].28 ~ 
1277,FB1[39].29 ~ ,MB1[39].29 ~ 
1278,FB1[39].30 ~ ,MB1[39].30 ~ 
1279,FB1[39].31 ~ ,MB1[39].31 ~ 
1280,FB1[40].0 ~ CC095 VFD COMMS FAULT,MB1[40].0 ~ 
1281,FB1[40].1 ~ ,MB1[40].1 ~ 
1282,FB1[40].2 ~ ,MB1[40].2 ~ 
1283,FB1[40].3 ~ ,MB1[40].3 ~ 
1284,FB1[40].4 ~ CC095 VFD  FAULTED,MB1[40].4 ~ 
1285,FB1[40].5 ~ CC150 VFD COMMS FAULT,MB1[40].5 ~ 
1286,FB1[40].6 ~ ,MB1[40].6 ~ 
1287,FB1[40].7 ~ ,MB1[40].7 ~ 
1288,FB1[40].8 ~ ,MB1[40].8 ~ 
1289,FB1[40].9 ~ CC150 VFD  FAULTED,MB1[40].9 ~ 
1290,FB1[40].10 ~ TT160 MAIN VFD COMMS FAULT,MB1[40].10 ~ 
1291,FB1[40].11 ~ TT160 STANDBY VFD COMMS FAULT,MB1[40].11 ~ 
1292,FB1[40].12 ~ ,MB1[40].12 ~ 
1293,FB1[40].13 ~ ,MB1[40].13 ~ 
1294,FB1[40].14 ~ TT160 - DRIVE  FAULTED,MB1[40].14 ~ 
1295,FB1[40].15 ~ ,MB1[40].15 ~ 
1296,FB1[40].16 ~ ,MB1[40].16 ~ 
1297,FB1[40].17 ~ ,MB1[40].17 ~ 
1298,FB1[40].18 ~ ,MB1[40].18 ~ 
1299,FB1[40].19 ~ ,MB1[40].19 ~ 
1300,FB1[40].20 ~ ,MB1[40].20 ~ 
1301,FB1[40].21 ~ ,MB1[40].21 ~ 
1302,FB1[40].22 ~ ,MB1[40].22 ~ 
1303,FB1[40].23 ~ ,MB1[40].23 ~ 
1304,FB1[40].24 ~ ,MB1[40].24 ~ 
1305,FB1[40].25 ~ ,MB1[40].25 ~ 
1306,FB1[40].26 ~ ,MB1[40].26 ~ 
1307,FB1[40].27 ~ ,MB1[40].27 ~ 
1308,FB1[40].28 ~ ,MB1[40].28 ~ 
1309,FB1[40].29 ~ ,MB1[40].29 ~ 
1310,FB1[40].30 ~ ,MB1[40].30 ~ 
1311,FB1[40].31 ~ ,MB1[40].31 ~ 
1312,FB1[41].0 ~ ,MB1[41].0 ~ 
1313,FB1[41].1 ~ ,MB1[41].1 ~ 
1314,FB1[41].2 ~ ,MB1[41].2 ~ 
1315,FB1[41].3 ~ ,MB1[41].3 ~ 
1316,FB1[41].4 ~ ,MB1[41].4 ~ 
1317,FB1[41].5 ~ ,MB1[41].5 ~ 
1318,FB1[41].6 ~ ,MB1[41].6 ~ 
1319,FB1[41].7 ~ ,MB1[41].7 ~ 
1320,FB1[41].8 ~ ,MB1[41].8 ~ 
1321,FB1[41].9 ~ ,MB1[41].9 ~ 
1322,FB1[41].10 ~ ,MB1[41].10 ~ 
1323,FB1[41].11 ~ ,MB1[41].11 ~ 
1324,FB1[41].12 ~ ,MB1[41].12 ~ 
1325,FB1[41].13 ~ ,MB1[41].13 ~ 
1326,FB1[41].14 ~ ,MB1[41].14 ~ 
1327,FB1[41].15 ~ ,MB1[41].15 ~ 
1328,FB1[41].16 ~ ,MB1[41].16 ~ 
1329,FB1[41].17 ~ ,MB1[41].17 ~ 
1330,FB1[41].18 ~ ,MB1[41].18 ~ 
1331,FB1[41].19 ~ ,MB1[41].19 ~ 
1332,FB1[41].20 ~ ,MB1[41].20 ~ 
1333,FB1[41].21 ~ ,MB1[41].21 ~ 
1334,FB1[41].22 ~ ,MB1[41].22 ~ 
1335,FB1[41].23 ~ ,MB1[41].23 ~ 
1336,FB1[41].24 ~ ,MB1[41].24 ~ 
1337,FB1[41].25 ~ ,MB1[41].25 ~ 
1338,FB1[41].26 ~ ,MB1[41].26 ~ 
1339,FB1[41].27 ~ ,MB1[41].27 ~ 
1340,FB1[41].28 ~ ,MB1[41].28 ~ 
1341,FB1[41].29 ~ ,MB1[41].29 ~ 
1342,FB1[41].30 ~ ,MB1[41].30 ~ 
1343,FB1[41].31 ~ ,MB1[41].31 ~ 
1344,FB1[42].0 ~ ,MB1[42].0 ~ 
1345,FB1[42].1 ~ ,MB1[42].1 ~ 
1346,FB1[42].2 ~ ,MB1[42].2 ~ 
1347,FB1[42].3 ~ ,MB1[42].3 ~ 
1348,FB1[42].4 ~ ,MB1[42].4 ~ 
1349,FB1[42].5 ~ ,MB1[42].5 ~ 
1350,FB1[42].6 ~ ,MB1[42].6 ~ 
1351,FB1[42].7 ~ ,MB1[42].7 ~ 
1352,FB1[42].8 ~ ,MB1[42].8 ~ 
1353,FB1[42].9 ~ ,MB1[42].9 ~ 
1354,FB1[42].10 ~ ,MB1[42].10 ~ 
1355,FB1[42].11 ~ ,MB1[42].11 ~ 
1356,FB1[42].12 ~ ,MB1[42].12 ~ 
1357,FB1[42].13 ~ ,MB1[42].13 ~ 
1358,FB1[42].14 ~ ,MB1[42].14 ~ 
1359,FB1[42].15 ~ ,MB1[42].15 ~ 
1360,FB1[42].16 ~ ,MB1[42].16 ~ 
1361,FB1[42].17 ~ ,MB1[42].17 ~ 
1362,FB1[42].18 ~ ,MB1[42].18 ~ 
1363,FB1[42].19 ~ ,MB1[42].19 ~ 
1364,FB1[42].20 ~ ,MB1[42].20 ~ 
1365,FB1[42].21 ~ ,MB1[42].21 ~ 
1366,FB1[42].22 ~ ,MB1[42].22 ~ 
1367,FB1[42].23 ~ ,MB1[42].23 ~ 
1368,FB1[42].24 ~ ,MB1[42].24 ~ 
1369,FB1[42].25 ~ ,MB1[42].25 ~ 
1370,FB1[42].26 ~ ,MB1[42].26 ~ 
1371,FB1[42].27 ~ ,MB1[42].27 ~ 
1372,FB1[42].28 ~ ,MB1[42].28 ~ 
1373,FB1[42].29 ~ ,MB1[42].29 ~ 
1374,FB1[42].30 ~ ,MB1[42].30 ~ 
1375,FB1[42].31 ~ ,MB1[42].31 ~ 
1376,FB1[43].0 ~ ,MB1[43].0 ~ 
1377,FB1[43].1 ~ ,MB1[43].1 ~ 
1378,FB1[43].2 ~ ,MB1[43].2 ~ 
1379,FB1[43].3 ~ ,MB1[43].3 ~ 
1380,FB1[43].4 ~ ,MB1[43].4 ~ 
1381,FB1[43].5 ~ ,MB1[43].5 ~ 
1382,FB1[43].6 ~ ,MB1[43].6 ~ 
1383,FB1[43].7 ~ ,MB1[43].7 ~ 
1384,FB1[43].8 ~ ,MB1[43].8 ~ 
1385,FB1[43].9 ~ ,MB1[43].9 ~ 
1386,FB1[43].10 ~ ,MB1[43].10 ~ 
1387,FB1[43].11 ~ ,MB1[43].11 ~ 
1388,FB1[43].12 ~ ,MB1[43].12 ~ 
1389,FB1[43].13 ~ ,MB1[43].13 ~ 
1390,FB1[43].14 ~ ,MB1[43].14 ~ 
1391,FB1[43].15 ~ ,MB1[43].15 ~ 
1392,FB1[43].16 ~ ,MB1[43].16 ~ 
1393,FB1[43].17 ~ ,MB1[43].17 ~ 
1394,FB1[43].18 ~ ,MB1[43].18 ~ 
1395,FB1[43].19 ~ ,MB1[43].19 ~ 
1396,FB1[43].20 ~ ,MB1[43].20 ~ 
1397,FB1[43].21 ~ ,MB1[43].21 ~ 
1398,FB1[43].22 ~ ,MB1[43].22 ~ 
1399,FB1[43].23 ~ ,MB1[43].23 ~ 
1400,FB1[43].24 ~ ,MB1[43].24 ~ 
1401,FB1[43].25 ~ ,MB1[43].25 ~ 
1402,FB1[43].26 ~ ,MB1[43].26 ~ 
1403,FB1[43].27 ~ ,MB1[43].27 ~ 
1404,FB1[43].28 ~ ,MB1[43].28 ~ 
1405,FB1[43].29 ~ ,MB1[43].29 ~ 
1406,FB1[43].30 ~ ,MB1[43].30 ~ 
1407,FB1[43].31 ~ ,MB1[43].31 ~ 
1408,FB1[44].0 ~ ,MB1[44].0 ~ 
1409,FB1[44].1 ~ ,MB1[44].1 ~ 
1410,FB1[44].2 ~ ,MB1[44].2 ~ 
1411,FB1[44].3 ~ ,MB1[44].3 ~ 
1412,FB1[44].4 ~ ,MB1[44].4 ~ 
1413,FB1[44].5 ~ ,MB1[44].5 ~ 
1414,FB1[44].6 ~ ,MB1[44].6 ~ 
1415,FB1[44].7 ~ ,MB1[44].7 ~ 
1416,FB1[44].8 ~ ,MB1[44].8 ~ 
1417,FB1[44].9 ~ ,MB1[44].9 ~ 
1418,FB1[44].10 ~ ,MB1[44].10 ~ 
1419,FB1[44].11 ~ ,MB1[44].11 ~ 
1420,FB1[44].12 ~ ,MB1[44].12 ~ 
1421,FB1[44].13 ~ ,MB1[44].13 ~ 
1422,FB1[44].14 ~ ,MB1[44].14 ~ 
1423,FB1[44].15 ~ ,MB1[44].15 ~ 
1424,FB1[44].16 ~ ,MB1[44].16 ~ 
1425,FB1[44].17 ~ ,MB1[44].17 ~ 
1426,FB1[44].18 ~ ,MB1[44].18 ~ 
1427,FB1[44].19 ~ ,MB1[44].19 ~ 
1428,FB1[44].20 ~ ,MB1[44].20 ~ 
1429,FB1[44].21 ~ ,MB1[44].21 ~ 
1430,FB1[44].22 ~ ,MB1[44].22 ~ 
1431,FB1[44].23 ~ ,MB1[44].23 ~ 
1432,FB1[44].24 ~ ,MB1[44].24 ~ 
1433,FB1[44].25 ~ ,MB1[44].25 ~ 
1434,FB1[44].26 ~ ,MB1[44].26 ~ 
1435,FB1[44].27 ~ ,MB1[44].27 ~ 
1436,FB1[44].28 ~ ,MB1[44].28 ~ 
1437,FB1[44].29 ~ ,MB1[44].29 ~ 
1438,FB1[44].30 ~ ,MB1[44].30 ~ 
1439,FB1[44].31 ~ ,MB1[44].31 ~ 
1440,FB1[45].0 ~ ,MB1[45].0 ~ 
1441,FB1[45].1 ~ ,MB1[45].1 ~ 
1442,FB1[45].2 ~ ,MB1[45].2 ~ 
1443,FB1[45].3 ~ ,MB1[45].3 ~ 
1444,FB1[45].4 ~ ,MB1[45].4 ~ 
1445,FB1[45].5 ~ ,MB1[45].5 ~ 
1446,FB1[45].6 ~ ,MB1[45].6 ~ 
1447,FB1[45].7 ~ ,MB1[45].7 ~ 
1448,FB1[45].8 ~ ,MB1[45].8 ~ 
1449,FB1[45].9 ~ ,MB1[45].9 ~ 
1450,FB1[45].10 ~ ,MB1[45].10 ~ 
1451,FB1[45].11 ~ ,MB1[45].11 ~ 
1452,FB1[45].12 ~ ,MB1[45].12 ~ 
1453,FB1[45].13 ~ ,MB1[45].13 ~ 
1454,FB1[45].14 ~ ,MB1[45].14 ~ 
1455,FB1[45].15 ~ ,MB1[45].15 ~ 
1456,FB1[45].16 ~ ,MB1[45].16 ~ 
1457,FB1[45].17 ~ ,MB1[45].17 ~ 
1458,FB1[45].18 ~ ,MB1[45].18 ~ 
1459,FB1[45].19 ~ ,MB1[45].19 ~ 
1460,FB1[45].20 ~ ,MB1[45].20 ~ 
1461,FB1[45].21 ~ ,MB1[45].21 ~ 
1462,FB1[45].22 ~ ,MB1[45].22 ~ 
1463,FB1[45].23 ~ ,MB1[45].23 ~ 
1464,FB1[45].24 ~ ,MB1[45].24 ~ 
1465,FB1[45].25 ~ ,MB1[45].25 ~ 
1466,FB1[45].26 ~ ,MB1[45].26 ~ 
1467,FB1[45].27 ~ ,MB1[45].27 ~ 
1468,FB1[45].28 ~ ,MB1[45].28 ~ 
1469,FB1[45].29 ~ ,MB1[45].29 ~ 
1470,FB1[45].30 ~ ,MB1[45].30 ~ 
1471,FB1[45].31 ~ ,MB1[45].31 ~ 
1472,FB1[46].0 ~ ,MB1[46].0 ~ 
1473,FB1[46].1 ~ ,MB1[46].1 ~ 
1474,FB1[46].2 ~ ,MB1[46].2 ~ 
1475,FB1[46].3 ~ ,MB1[46].3 ~ 
1476,FB1[46].4 ~ ,MB1[46].4 ~ 
1477,FB1[46].5 ~ ,MB1[46].5 ~ 
1478,FB1[46].6 ~ ,MB1[46].6 ~ 
1479,FB1[46].7 ~ ,MB1[46].7 ~ 
1480,FB1[46].8 ~ ,MB1[46].8 ~ 
1481,FB1[46].9 ~ ,MB1[46].9 ~ 
1482,FB1[46].10 ~ ,MB1[46].10 ~ 
1483,FB1[46].11 ~ ,MB1[46].11 ~ 
1484,FB1[46].12 ~ ,MB1[46].12 ~ 
1485,FB1[46].13 ~ ,MB1[46].13 ~ 
1486,FB1[46].14 ~ ,MB1[46].14 ~ 
1487,FB1[46].15 ~ ,MB1[46].15 ~ 
1488,FB1[46].16 ~ ,MB1[46].16 ~ 
1489,FB1[46].17 ~ ,MB1[46].17 ~ 
1490,FB1[46].18 ~ ,MB1[46].18 ~ 
1491,FB1[46].19 ~ ,MB1[46].19 ~ 
1492,FB1[46].20 ~ ,MB1[46].20 ~ 
1493,FB1[46].21 ~ ,MB1[46].21 ~ 
1494,FB1[46].22 ~ ,MB1[46].22 ~ 
1495,FB1[46].23 ~ ,MB1[46].23 ~ 
1496,FB1[46].24 ~ ,MB1[46].24 ~ 
1497,FB1[46].25 ~ ,MB1[46].25 ~ 
1498,FB1[46].26 ~ ,MB1[46].26 ~ 
1499,FB1[46].27 ~ ,MB1[46].27 ~ 
1500,FB1[46].28 ~ ,MB1[46].28 ~ 
1501,FB1[46].29 ~ ,MB1[46].29 ~ 
1502,FB1[46].30 ~ ,MB1[46].30 ~ 
1503,FB1[46].31 ~ ,MB1[46].31 ~ 
1504,FB1[47].0 ~ ,MB1[47].0 ~ 
1505,FB1[47].1 ~ ,MB1[47].1 ~ 
1506,FB1[47].2 ~ ,MB1[47].2 ~ 
1507,FB1[47].3 ~ ,MB1[47].3 ~ 
1508,FB1[47].4 ~ ,MB1[47].4 ~ 
1509,FB1[47].5 ~ ,MB1[47].5 ~ 
1510,FB1[47].6 ~ ,MB1[47].6 ~ 
1511,FB1[47].7 ~ ,MB1[47].7 ~ 
1512,FB1[47].8 ~ ,MB1[47].8 ~ 
1513,FB1[47].9 ~ ,MB1[47].9 ~ 
1514,FB1[47].10 ~ ,MB1[47].10 ~ 
1515,FB1[47].11 ~ ,MB1[47].11 ~ 
1516,FB1[47].12 ~ ,MB1[47].12 ~ 
1517,FB1[47].13 ~ ,MB1[47].13 ~ 
1518,FB1[47].14 ~ ,MB1[47].14 ~ 
1519,FB1[47].15 ~ ,MB1[47].15 ~ 
1520,FB1[47].16 ~ ,MB1[47].16 ~ 
1521,FB1[47].17 ~ ,MB1[47].17 ~ 
1522,FB1[47].18 ~ ,MB1[47].18 ~ 
1523,FB1[47].19 ~ ,MB1[47].19 ~ 
1524,FB1[47].20 ~ ,MB1[47].20 ~ 
1525,FB1[47].21 ~ ,MB1[47].21 ~ 
1526,FB1[47].22 ~ ,MB1[47].22 ~ 
1527,FB1[47].23 ~ ,MB1[47].23 ~ 
1528,FB1[47].24 ~ ,MB1[47].24 ~ 
1529,FB1[47].25 ~ ,MB1[47].25 ~ 
1530,FB1[47].26 ~ ,MB1[47].26 ~ 
1531,FB1[47].27 ~ ,MB1[47].27 ~ 
1532,FB1[47].28 ~ ,MB1[47].28 ~ 
1533,FB1[47].29 ~ ,MB1[47].29 ~ 
1534,FB1[47].30 ~ ,MB1[47].30 ~ 
1535,FB1[47].31 ~ ,MB1[47].31 ~ 
1536,FB1[48].0 ~ ,MB1[48].0 ~ 
1537,FB1[48].1 ~ ,MB1[48].1 ~ 
1538,FB1[48].2 ~ ,MB1[48].2 ~ 
1539,FB1[48].3 ~ ,MB1[48].3 ~ 
1540,FB1[48].4 ~ ,MB1[48].4 ~ 
1541,FB1[48].5 ~ ,MB1[48].5 ~ 
1542,FB1[48].6 ~ ,MB1[48].6 ~ 
1543,FB1[48].7 ~ ,MB1[48].7 ~ 
1544,FB1[48].8 ~ ,MB1[48].8 ~ 
1545,FB1[48].9 ~ ,MB1[48].9 ~ 
1546,FB1[48].10 ~ ,MB1[48].10 ~ 
1547,FB1[48].11 ~ ,MB1[48].11 ~ 
1548,FB1[48].12 ~ ,MB1[48].12 ~ 
1549,FB1[48].13 ~ ,MB1[48].13 ~ 
1550,FB1[48].14 ~ ,MB1[48].14 ~ 
1551,FB1[48].15 ~ ,MB1[48].15 ~ 
1552,FB1[48].16 ~ ,MB1[48].16 ~ 
1553,FB1[48].17 ~ ,MB1[48].17 ~ 
1554,FB1[48].18 ~ ,MB1[48].18 ~ 
1555,FB1[48].19 ~ ,MB1[48].19 ~ 
1556,FB1[48].20 ~ ,MB1[48].20 ~ 
1557,FB1[48].21 ~ ,MB1[48].21 ~ 
1558,FB1[48].22 ~ ,MB1[48].22 ~ 
1559,FB1[48].23 ~ ,MB1[48].23 ~ 
1560,FB1[48].24 ~ ,MB1[48].24 ~ 
1561,FB1[48].25 ~ ,MB1[48].25 ~ 
1562,FB1[48].26 ~ ,MB1[48].26 ~ 
1563,FB1[48].27 ~ ,MB1[48].27 ~ 
1564,FB1[48].28 ~ ,MB1[48].28 ~ 
1565,FB1[48].29 ~ ,MB1[48].29 ~ 
1566,FB1[48].30 ~ ,MB1[48].30 ~ 
1567,FB1[48].31 ~ ,MB1[48].31 ~ 
1568,FB1[49].0 ~ ,MB1[49].0 ~ 
1569,FB1[49].1 ~ ,MB1[49].1 ~ 
1570,FB1[49].2 ~ ,MB1[49].2 ~ 
1571,FB1[49].3 ~ ,MB1[49].3 ~ 
1572,FB1[49].4 ~ ,MB1[49].4 ~ 
1573,FB1[49].5 ~ ,MB1[49].5 ~ 
1574,FB1[49].6 ~ ,MB1[49].6 ~ 
1575,FB1[49].7 ~ ,MB1[49].7 ~ 
1576,FB1[49].8 ~ ,MB1[49].8 ~ 
1577,FB1[49].9 ~ ,MB1[49].9 ~ 
1578,FB1[49].10 ~ ,MB1[49].10 ~ 
1579,FB1[49].11 ~ ,MB1[49].11 ~ 
1580,FB1[49].12 ~ ,MB1[49].12 ~ 
1581,FB1[49].13 ~ ,MB1[49].13 ~ 
1582,FB1[49].14 ~ ,MB1[49].14 ~ 
1583,FB1[49].15 ~ ,MB1[49].15 ~ 
1584,FB1[49].16 ~ ,MB1[49].16 ~ 
1585,FB1[49].17 ~ ,MB1[49].17 ~ 
1586,FB1[49].18 ~ ,MB1[49].18 ~ 
1587,FB1[49].19 ~ ,MB1[49].19 ~ 
1588,FB1[49].20 ~ ,MB1[49].20 ~ 
1589,FB1[49].21 ~ ,MB1[49].21 ~ 
1590,FB1[49].22 ~ ,MB1[49].22 ~ 
1591,FB1[49].23 ~ ,MB1[49].23 ~ 
1592,FB1[49].24 ~ ,MB1[49].24 ~ 
1593,FB1[49].25 ~ ,MB1[49].25 ~ 
1594,FB1[49].26 ~ ,MB1[49].26 ~ 
1595,FB1[49].27 ~ ,MB1[49].27 ~ 
1596,FB1[49].28 ~ ,MB1[49].28 ~ 
1597,FB1[49].29 ~ ,MB1[49].29 ~ 
1598,FB1[49].30 ~ ,MB1[49].30 ~ 
1599,FB1[49].31 ~ ,MB1[49].31 ~ 
1600,FB1[50].0 ~ ,MB1[50].0 ~ 
1601,FB1[50].1 ~ ,MB1[50].1 ~ 
1602,FB1[50].2 ~ ,MB1[50].2 ~ 
1603,FB1[50].3 ~ ,MB1[50].3 ~ 
1604,FB1[50].4 ~ ,MB1[50].4 ~ 
1605,FB1[50].5 ~ ,MB1[50].5 ~ 
1606,FB1[50].6 ~ ,MB1[50].6 ~ 
1607,FB1[50].7 ~ ,MB1[50].7 ~ 
1608,FB1[50].8 ~ ,MB1[50].8 ~ 
1609,FB1[50].9 ~ ,MB1[50].9 ~ 
1610,FB1[50].10 ~ ,MB1[50].10 ~ 
1611,FB1[50].11 ~ ,MB1[50].11 ~ 
1612,FB1[50].12 ~ ,MB1[50].12 ~ 
1613,FB1[50].13 ~ ,MB1[50].13 ~ 
1614,FB1[50].14 ~ ,MB1[50].14 ~ 
1615,FB1[50].15 ~ ,MB1[50].15 ~ 
1616,FB1[50].16 ~ ,MB1[50].16 ~ 
1617,FB1[50].17 ~ ,MB1[50].17 ~ 
1618,FB1[50].18 ~ ,MB1[50].18 ~ 
1619,FB1[50].19 ~ ,MB1[50].19 ~ 
1620,FB1[50].20 ~ ,MB1[50].20 ~ 
1621,FB1[50].21 ~ ,MB1[50].21 ~ 
1622,FB1[50].22 ~ ,MB1[50].22 ~ 
1623,FB1[50].23 ~ ,MB1[50].23 ~ 
1624,FB1[50].24 ~ ,MB1[50].24 ~ 
1625,FB1[50].25 ~ ,MB1[50].25 ~ 
1626,FB1[50].26 ~ ,MB1[50].26 ~ 
1627,FB1[50].27 ~ ,MB1[50].27 ~ 
1628,FB1[50].28 ~ ,MB1[50].28 ~ 
1629,FB1[50].29 ~ ,MB1[50].29 ~ 
1630,FB1[50].30 ~ ,MB1[50].30 ~ 
1631,FB1[50].31 ~ ,MB1[50].31 ~ 
1632,FB1[51].0 ~ ,MB1[51].0 ~ 
1633,FB1[51].1 ~ ,MB1[51].1 ~ 
1634,FB1[51].2 ~ ,MB1[51].2 ~ 
1635,FB1[51].3 ~ ,MB1[51].3 ~ 
1636,FB1[51].4 ~ ,MB1[51].4 ~ 
1637,FB1[51].5 ~ ,MB1[51].5 ~ 
1638,FB1[51].6 ~ ,MB1[51].6 ~ 
1639,FB1[51].7 ~ ,MB1[51].7 ~ 
1640,FB1[51].8 ~ ,MB1[51].8 ~ 
1641,FB1[51].9 ~ ,MB1[51].9 ~ 
1642,FB1[51].10 ~ ,MB1[51].10 ~ 
1643,FB1[51].11 ~ ,MB1[51].11 ~ 
1644,FB1[51].12 ~ ,MB1[51].12 ~ 
1645,FB1[51].13 ~ ,MB1[51].13 ~ 
1646,FB1[51].14 ~ ,MB1[51].14 ~ 
1647,FB1[51].15 ~ ,MB1[51].15 ~ 
1648,FB1[51].16 ~ ,MB1[51].16 ~ 
1649,FB1[51].17 ~ ,MB1[51].17 ~ 
1650,FB1[51].18 ~ ,MB1[51].18 ~ 
1651,FB1[51].19 ~ ,MB1[51].19 ~ 
1652,FB1[51].20 ~ ,MB1[51].20 ~ 
1653,FB1[51].21 ~ ,MB1[51].21 ~ 
1654,FB1[51].22 ~ ,MB1[51].22 ~ 
1655,FB1[51].23 ~ ,MB1[51].23 ~ 
1656,FB1[51].24 ~ ,MB1[51].24 ~ 
1657,FB1[51].25 ~ ,MB1[51].25 ~ 
1658,FB1[51].26 ~ ,MB1[51].26 ~ 
1659,FB1[51].27 ~ ,MB1[51].27 ~ 
1660,FB1[51].28 ~ ,MB1[51].28 ~ 
1661,FB1[51].29 ~ ,MB1[51].29 ~ 
1662,FB1[51].30 ~ ,MB1[51].30 ~ 
1663,FB1[51].31 ~ ,MB1[51].31 ~ 
1664,FB1[52].0 ~ ,MB1[52].0 ~ 
1665,FB1[52].1 ~ ,MB1[52].1 ~ 
1666,FB1[52].2 ~ ,MB1[52].2 ~ 
1667,FB1[52].3 ~ ,MB1[52].3 ~ 
1668,FB1[52].4 ~ ,MB1[52].4 ~ 
1669,FB1[52].5 ~ ,MB1[52].5 ~ 
1670,FB1[52].6 ~ ,MB1[52].6 ~ 
1671,FB1[52].7 ~ ,MB1[52].7 ~ 
1672,FB1[52].8 ~ ,MB1[52].8 ~ 
1673,FB1[52].9 ~ ,MB1[52].9 ~ 
1674,FB1[52].10 ~ ,MB1[52].10 ~ 
1675,FB1[52].11 ~ ,MB1[52].11 ~ 
1676,FB1[52].12 ~ ,MB1[52].12 ~ 
1677,FB1[52].13 ~ ,MB1[52].13 ~ 
1678,FB1[52].14 ~ ,MB1[52].14 ~ 
1679,FB1[52].15 ~ ,MB1[52].15 ~ 
1680,FB1[52].16 ~ ,MB1[52].16 ~ 
1681,FB1[52].17 ~ ,MB1[52].17 ~ 
1682,FB1[52].18 ~ ,MB1[52].18 ~ 
1683,FB1[52].19 ~ ,MB1[52].19 ~ 
1684,FB1[52].20 ~ ,MB1[52].20 ~ 
1685,FB1[52].21 ~ ,MB1[52].21 ~ 
1686,FB1[52].22 ~ ,MB1[52].22 ~ 
1687,FB1[52].23 ~ ,MB1[52].23 ~ 
1688,FB1[52].24 ~ ,MB1[52].24 ~ 
1689,FB1[52].25 ~ ,MB1[52].25 ~ 
1690,FB1[52].26 ~ ,MB1[52].26 ~ 
1691,FB1[52].27 ~ ,MB1[52].27 ~ 
1692,FB1[52].28 ~ ,MB1[52].28 ~ 
1693,FB1[52].29 ~ ,MB1[52].29 ~ 
1694,FB1[52].30 ~ ,MB1[52].30 ~ 
1695,FB1[52].31 ~ ,MB1[52].31 ~ 
1696,FB1[53].0 ~ ,MB1[53].0 ~ 
1697,FB1[53].1 ~ ,MB1[53].1 ~ 
1698,FB1[53].2 ~ ,MB1[53].2 ~ 
1699,FB1[53].3 ~ ,MB1[53].3 ~ 
1700,FB1[53].4 ~ ,MB1[53].4 ~ 
1701,FB1[53].5 ~ ,MB1[53].5 ~ 
1702,FB1[53].6 ~ ,MB1[53].6 ~ 
1703,FB1[53].7 ~ ,MB1[53].7 ~ 
1704,FB1[53].8 ~ ,MB1[53].8 ~ 
1705,FB1[53].9 ~ ,MB1[53].9 ~ 
1706,FB1[53].10 ~ ,MB1[53].10 ~ 
1707,FB1[53].11 ~ ,MB1[53].11 ~ 
1708,FB1[53].12 ~ ,MB1[53].12 ~ 
1709,FB1[53].13 ~ ,MB1[53].13 ~ 
1710,FB1[53].14 ~ ,MB1[53].14 ~ 
1711,FB1[53].15 ~ ,MB1[53].15 ~ 
1712,FB1[53].16 ~ ,MB1[53].16 ~ 
1713,FB1[53].17 ~ ,MB1[53].17 ~ 
1714,FB1[53].18 ~ ,MB1[53].18 ~ 
1715,FB1[53].19 ~ ,MB1[53].19 ~ 
1716,FB1[53].20 ~ ,MB1[53].20 ~ 
1717,FB1[53].21 ~ ,MB1[53].21 ~ 
1718,FB1[53].22 ~ ,MB1[53].22 ~ 
1719,FB1[53].23 ~ ,MB1[53].23 ~ 
1720,FB1[53].24 ~ ,MB1[53].24 ~ 
1721,FB1[53].25 ~ ,MB1[53].25 ~ 
1722,FB1[53].26 ~ ,MB1[53].26 ~ 
1723,FB1[53].27 ~ ,MB1[53].27 ~ 
1724,FB1[53].28 ~ ,MB1[53].28 ~ 
1725,FB1[53].29 ~ ,MB1[53].29 ~ 
1726,FB1[53].30 ~ ,MB1[53].30 ~ 
1727,FB1[53].31 ~ ,MB1[53].31 ~ 
1728,FB1[54].0 ~ ,MB1[54].0 ~ 
1729,FB1[54].1 ~ ,MB1[54].1 ~ 
1730,FB1[54].2 ~ ,MB1[54].2 ~ 
1731,FB1[54].3 ~ ,MB1[54].3 ~ 
1732,FB1[54].4 ~ ,MB1[54].4 ~ 
1733,FB1[54].5 ~ ,MB1[54].5 ~ 
1734,FB1[54].6 ~ ,MB1[54].6 ~ 
